model_name,prompt_price,completion_price,availability,billing_type,price_text,avg_price
gpt-4o-realtime-preview-2024-12-17,5.0,20.0,不可用,按量计费,"提示 $5 / 1M tokens
补全 $20 / 1M tokens",12.5
gpt-4o-search-preview,2.5,10.0,不可用,按量计费,"提示 $2.5 / 1M tokens
补全 $10 / 1M tokens",6.25
gpt-4o-search-preview-2025-03-11,2.5,10.0,不可用,按量计费,"提示 $2.5 / 1M tokens
补全 $10 / 1M tokens",6.25
gpt-image-1,5.0,40.0,不可用,按量计费,"提示 $5 / 1M tokens
补全 $40 / 1M tokens",22.5
chatgpt-4o-latest,5.0,15.0,不可用,按量计费,"提示 $5 / 1M tokens
补全 $15 / 1M tokens",10.0
claude-2,75.0,225.0,不可用,按量计费,"提示 $75 / 1M tokens
补全 $225 / 1M tokens",150.0
claude-2.0,8.0,24.0,不可用,按量计费,"提示 $8 / 1M tokens
补全 $24 / 1M tokens",16.0
claude-2.1,8.0,24.0,不可用,按量计费,"提示 $8 / 1M tokens
补全 $24 / 1M tokens",16.0
claude-3-5-haiku-20241022,1.0,5.0,不可用,按量计费,"提示 $1 / 1M tokens
补全 $5 / 1M tokens",3.0
claude-3-5-haiku-latest,1.0,5.0,不可用,按量计费,"提示 $1 / 1M tokens
补全 $5 / 1M tokens",3.0
claude-3-5-sonnet-20240620,3.0,15.0,不可用,按量计费,"提示 $3 / 1M tokens
补全 $15 / 1M tokens",9.0
claude-3-5-sonnet-20241022,3.0,15.0,不可用,按量计费,"提示 $3 / 1M tokens
补全 $15 / 1M tokens",9.0
claude-3-5-sonnet-20241022-all,3.0,15.0,不可用,按量计费,"提示 $3 / 1M tokens
补全 $15 / 1M tokens",9.0
claude-3-5-sonnet-all,3.0,15.0,不可用,按量计费,"提示 $3 / 1M tokens
补全 $15 / 1M tokens",9.0
claude-3-5-sonnet-latest,3.0,15.0,不可用,按量计费,"提示 $3 / 1M tokens
补全 $15 / 1M tokens",9.0
